address,company,jname,jtxt,mount,salary
(齐山公园671仓库),池州市天勤商贸中心,文员,学历不限 / 经验2年以上 / 性别不限 / 年龄不限,招聘1人,薪资面议
,麦言茶语烘焙,店长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-7K
,麦言茶语烘焙,面包中工/学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,1K-4K
(池州市三台路150号（花鸟市场对面）),池州市天勤商贸中心,业务员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-8K
(池州市三台路150号（花鸟市场对面）),池州市天勤商贸中心,驾驶员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
(池州市贵池区长江南路688号（财富广场）六楼613室),学林教育,前台,中专 / 经验1年以上 / 性别女 / 22～30岁,招聘2人,1K-3K
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,初中语文数学教师,大专 / 经验1年以上 / 性别不限 / 年龄不限,招聘3人,面议
,麦言茶语烘焙,渠道业务精英,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,1K-10K
,麦言茶语烘焙,营业员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘6人,2K-5K
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,少儿英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,初中英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,初中物理 教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,高中物理教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,高中数学教师,本科 / 经验3年以上 / 性别不限 / 年龄不限,招聘3人,面议
,池州居安房地产经纪有限公司,房产经纪人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘50人,薪资面议
(池州市贵池区白牙中路13号（地区医院对面）),泰康人寿池州分公司银保部,售后服务经理,大专 / 经验不限 / 性别不限 / 25～45岁,招聘若干人,面议
,池州居安房地产经纪有限公司,店长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
