address,company,jname,jtxt,mount,salary
池州市,池州正建工程管理服务有限公司,二级建造师,大专 / 经验2年以上 / 性别不限 / 25～50岁,招聘6人,面议
池州市贵池区,学林教育,招生教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘2人,面议
池州市贵池区,学林教育,高中物理教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,学林教育,初中物理 教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
池州市贵池区,学林教育,高中数学教师,本科 / 经验3年以上 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,学林教育,少儿英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,面议
池州市,池州正建工程管理服务有限公司,监理员,大专 / 经验2年以上 / 性别男 / 25～55岁,招聘3人,面议
池州市,学林教育,初中英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
"安庆市,阜阳市,池州市,濮阳市",池州正建工程管理服务有限公司,国家注册监理工程师,大专 / 经验2年以上 / 性别不限 / 30～51岁,招聘5人,7K-10K
池州市贵池区,学林教育,前台,中专 / 经验1年以上 / 性别女 / 22～30岁,招聘2人,1K-3K
池州市贵池区,学林教育,初中语文数学教师,大专 / 经验1年以上 / 性别不限 / 年龄不限,招聘3人,面议
池州市贵池区,池州丽美整形,现场咨询师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,薪资面议
池州市,芜湖智观房地产营销策划有限公司,置业顾问,学历不限 / 经验不限 / 性别不限 / 18～35岁,招聘10人,5K-10K
池州市贵池区,池州丽美整形,护士,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
池州市贵池区,池州丽美整形,执业医师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,薪资面议
池州市贵池区,池州丽美整形,市场专员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,薪资面议
池州市,池州市银龙矿业有限公司,仓管员,中专 / 经验1年以上 / 性别男 / 25～55岁,招聘2人,面议
池州市,池州市银龙矿业有限公司,矿长(副矿长）,大专 / 经验5年以上 / 性别男 / 35～55岁,招聘2人,面议
池州市贵池区,安徽星汉检测技术有限责任公司,理化分析员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,薪资面议
池州市,池州市银龙矿业有限公司,化验员,大专 / 经验3年以上 / 性别不限 / 22～45岁,招聘1人,面议
池州市贵池区,安徽星汉检测技术有限责任公司,质量负责人,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市贵池区,平安人寿池州中支,平安普惠专员,高中 / 经验不限 / 性别不限 / 20～50岁,招聘6人,6K-10K
石台县,芜湖智观房地产营销策划有限公司,行政，策划,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,4K-5K
池州市,池州市银龙矿业有限公司,清灰工,学历不限 / 经验1年以上 / 性别不限 / 年龄不限,招聘2人,3K-4K
池州市贵池区,安徽星汉检测技术有限责任公司,行政文员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,2K-3K
池州市,池州市银龙矿业有限公司,副总经理,大专 / 经验5年以上 / 性别男 / 35～50岁,招聘2人,面议
"池州市,池州市贵池区",池州市银龙矿业有限公司,司磅员,初中 / 经验1年以上 / 性别男 / 25～55岁,招聘若干人,面议
池州市贵池区,池州市三友家具批发市场,货车驾驶员,初中 / 经验1年以上 / 性别不限 / 年龄不限,招聘6人,3K-5K
池州市,安徽钜芯半导体科技有限公司,生产计划员,高中 / 经验1年以上 / 性别女 / 年龄不限,招聘1人,薪资面议
"池州市,池州市贵池区",安徽钜芯半导体科技有限公司,产线作业员,初中 / 经验不限 / 性别不限 / 18～45岁,招聘20人,3K-5K
池州市贵池区,池州市三友家具批发市场,总经理助理,高中 / 经验2年以上 / 性别女 / 25～45岁,招聘2人,3K-5K
池州市贵池区,池州万卷书城,记账员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,薪资面议
池州市贵池区,池州市三友家具批发市场,三轮电瓶车送货员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,3K-5K
池州市,池州万卷书城,理货员、导购员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,薪资面议
"安庆市,阜阳市,池州市,濮阳市",池州正建工程管理服务有限公司,国家注册监理工程师,大专 / 经验2年以上 / 性别不限 / 30～51岁,招聘5人,7K-10K
池州市东至县,池州至尚规划建筑设计有限责任公司,电气设计工程师,本科 / 经验不限 / 性别不限 / 20～30岁,招聘1人,薪资面议
池州市,池州市海佳纺织科技有限公司,挡车作业员,学历不限 / 经验不限 / 性别女 / 18～48岁,招聘20人,面议
池州市东至县,池州至尚规划建筑设计有限责任公司,装饰设计师,本科 / 经验不限 / 性别不限 / 18～40岁,招聘1人,薪资面议
池州市,安徽钜芯半导体科技有限公司,往来会计,大专 / 经验2年以上 / 性别不限 / 22～38岁,招聘1人,薪资面议
池州市贵池区,益同商贸,业务员,初中 / 经验不限 / 性别不限 / 年龄不限,招聘5人,3K-4K
池州市贵池区,益同商贸,电脑操作员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,2K-3K
池州市,安徽钜芯半导体科技有限公司,仓库管理员,学历不限 / 经验1年以上 / 性别不限 / 年龄不限,招聘2人,3K-4K
池州市贵池区,益同商贸,仓库管理员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
池州市贵池区,池州市三友家具批发市场,男 女 临时工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,面议
池州市贵池区,安徽华宇物业公司,物业经理,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,3K-4K
池州市贵池区,安徽华宇物业公司,勤杂工,初中 / 经验2年以上 / 性别不限 / 35～56岁,招聘1人,1K-1K
池州市贵池区,安徽华宇物业公司,保洁员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,1K-1K
池州市贵池区,池州市九华明坤铝业有限公司,机修工,中专 / 经验1年以上 / 性别男 / 25～45岁,招聘1人,面议
池州市,安徽华宇物业公司,建行门卫,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
池州市贵池区,平安人寿池州中支,平安商户专员,高中 / 经验不限 / 性别不限 / 20～50岁,招聘2人,薪资面议
池州市,池州市兆丰招商运营代理有限公司,招商专员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,薪资面议
池州市贵池区,安徽川上中央厨房设备有限公司,出纳,大专 / 经验1年以上 / 性别女 / 年龄不限,招聘1人,薪资面议
池州市,池州正建工程管理服务有限公司,二级建造师,大专 / 经验2年以上 / 性别不限 / 25～50岁,招聘6人,面议
池州市贵池区,安徽华宇物业公司,会计,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,5K-7K
池州市,池州万卷书城,收银员、电脑操作员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,薪资面议
池州市贵池区,学林教育,初中物理 教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
池州市贵池区,学林教育,招生教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘2人,面议
池州市贵池区,益同商贸,店员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,2K-3K
池州市,学林教育,初中英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
池州市贵池区,学林教育,初中语文数学教师,大专 / 经验1年以上 / 性别不限 / 年龄不限,招聘3人,面议
池州市,安徽华宇物业公司,水电工,初中 / 经验2年以上 / 性别男 / 30～50岁,招聘1人,3K-3K
池州市贵池区,学林教育,高中物理教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
