company,jname,jtxt,mount,salary
安徽普倍生物科技有限公司,销售内勤,"贵池区,经验不限,本科",[1人],面议
池州人网文化传媒有限公司,房产编辑,"贵池区,经验不限,本科",[若干人],3千-5千/月
池州人网文化传媒有限公司,新媒体编辑,"贵池区/城区,经验不限,本科",[若干人],3千-5千/月
池州人网文化传媒有限公司,网站编辑,"贵池区/城区,经验不限,本科",[若干人],3千-5千/月
池州人网文化传媒有限公司,商务经理（政务）,"贵池区,经验不限,本科",[若干人],面议
池州人网文化传媒有限公司,商务经理（综合）,"贵池区/城区,经验不限,大专",[若干人],面议
池州人网文化传媒有限公司,视频拍摄与制作,"贵池区,经验不限,学历不限",[若干人],面议
池州人网文化传媒有限公司,人才频道销售经理,"贵池区,经验不限,大专",[若干人],面议
池州市纽约纽约时尚婚纱摄影影楼,门店销售,"贵池区/城区,1-3年,学历不限",[4人],3千-6千/月
池州市纽约纽约时尚婚纱摄影影楼,化妆助理,"贵池区,经验不限,学历不限",[4人],1千-2千/月
池州市纽约纽约时尚婚纱摄影影楼,化妆师,"贵池区,3-5年,学历不限",[2人],3千-5千/月
池州市纽约纽约时尚婚纱摄影影楼,化妆师,"贵池区,1-3年,学历不限",[2人],3千-6千/月
池州市纽约纽约时尚婚纱摄影影楼,摄影助理,"贵池区,经验不限,学历不限",[4人],1千-2千/月
池州人网文化传媒有限公司,销售助理,"贵池区,经验不限,大专",[若干人],面议
池州海韵健康服务有限公司,销售经理,"贵池区,1-3年,大专",[2人],5千-1万/月
池州海韵健康服务有限公司,保健护理师,"贵池区,1-3年,中专",[2人],3千-5千/月
安徽九朵莲实业股份有限公司,销售专员,"贵池区,经验不限,学历不限",[若干人],面议
安徽九朵莲实业股份有限公司,销售经理,"贵池区,经验不限,学历不限",[1人],面议
安徽九朵莲实业股份有限公司,接待员,"贵池区,经验不限,学历不限",[1人],2千-3千5/月
安徽九朵莲实业股份有限公司,财务,"贵池区,经验不限,大专",[1人],3千-3千5/月
安徽九朵莲实业股份有限公司,设计师,"贵池区,1-3年,大专",[2人],3千-5千/月
安徽九朵莲实业股份有限公司,招商专员,"贵池区,经验不限,学历不限",[1人],2千5-4千/月
安徽九朵莲实业股份有限公司,电商运营专员,"贵池区,经验不限,学历不限",[若干人],面议
池信交通信息咨询服务有限公司,实习律师,"贵池区,经验不限,学历不限",[若干人],面议
池信交通信息咨询服务有限公司,法律销售业务员,"贵池区,经验不限,学历不限",[5人],5千-1万/月
玉臻集团,玉臻诚聘客服专员,"贵池区,经验不限,高中",[99人],3千-5千/月
玉臻集团,客服专员,"贵池区,经验不限,高中",[99人],3千-5千/月
